Document,Category
"-- 
*** Nothing beats skiing, if you want to have real fun during holidays. ***
***       Rob de Winter  Philips Research, IST/IT, Building WL-1        ***
***       P.O. Box 80000, 5600 JA  Eindhoven. The Netherlands           ***
***       Tel: +31 40 743621  E-mail: dewinter@prl.philips.nl           ***
",2
"




    While I don't mean to damn Henrik's attempt to be helpful here,
he's using a common misconception that should be corrected.

    Mach banding will occur for any image.  It is not the color
quantization you see when you don't have enough bits.  It is the
human eye's response to transitions or edges between intensities.
The result is that colors near the transistion look brighter on
the brighter side and darker on the darker side.

--Andre
",1
"Thanks to all those who responded to my original post on this question.  The
final diagnosis was Stress.  I did not take her for a chiropractic adjustment.
(Rachel receives all her medical care at Keller Army Hospital since she is a
military dependant, and the Army does not yet provide chiropractic adjustments
as part of its regular health care.)  I am hoping that the arrival of (1)
Spring Break, and (2) College Acceptance Letters, will help.  *UNFORTUNATELY*
she was wait-listed at the college she most dearly wanted to attend, so it
seems as though that stressor may just continue for a while.  :-(

Meanwhile she is going on a camping trip with her religious youth group for
spring break, which seems like a good stress-reliever to me.

Thanks again for everybody's help/advice/suggestions/ideas.
",13
"Im designing a circuit with just a silicon diode. I dont need
to modify any of the parameters. But the problem will not accept the following
statement
		
		.model diode D

        The pspice book I have is terrible. I would appreciate any help.
",12
"I have tickets for the TB Giants and I was wondering if
anybody familiar with the stadium could tell me where 
Section 15 in the lower level is located.
    Please e-mail the response,
    Thanks, 
    Rich",9
"
Portuguese launch complex??? Gosh.... Polish are for American in the 
same way as Portuguese are for Brazilians (I am from Brazil). There is 
a joke about the Portuguese Space Agency that wanted to send a 
Portuguese  astronaut to the surface of the Sun (if there is such a thing).
How did they solve all problems of sending a man to the surface of the 
Sun??? Simple... their astronauts travelled during the night...

 C.O.EGALON@LARC.NASA.GOV

C.O.Egalon@larc.nasa.gov",14
"Frequently of late, I have been reacting to something added to
restaurant foods.  What happens is that the inside of my throat starts
to feel ""puffy"", like I have a cold, and also at times the inside of my
mouth (especially the tongue) and lips also feel puffy.

The situations around these symptoms almost always involve restaurants
(usually chinese), the most notable cases:  a cheap chinese fast food
chain, a japanese steak house (I had the steak), and another chinese
fast food chain where I SAW the cook put about a tablespoon or two of
what looked like sugar or salt into my fried rice.

I am under the impression that MSG ""enhances"" flavor by causing the
taste buds to swell.  If this is correct, I do not find it unreasonable
to assume that high doses of MSG can cause other mouth tissues to swell.

Also, as the many of the occurances (including two of the above)
involved beef, and as beef is frequently tenderized with MSG, this is
what I suspect as being the cause.

I wouldn't be at all surprised if toxicity studies of MSG in animals
showed it as being harmless, as it would be very startling to hear a lab
rat or rhesus monkey complain about their throats feeling funny.

Anyone who wishes to explain how the majority of food additives are
totally harmless is welcome to e-mail me with the results of any studied
they know of.  I will probably respond to them however with a reminder
of how long it took to prove that smoking causes cancer (which the
tobacco companies still deny).

- DM

(If I sound grumpy, it's because I had beef with broccoli for lunch
today, and now it hurts to swallow)

--
------------------------------------------------------------------------------
Dan Myers (Madman)		| If the creator had intended us to walk 
myers@usceast.cs.scarolina.edu	| upright, he wouldn't have given us knuckles",13
"
It works on xterms. At least I have no problem with it. - Back to the original
question:

I usually start new xterms by selecting the proper menu entry in my desktop
menu. Here is a sample command:

	xterm -sl 999 -n ls12i -title ls12i -e rlogin ls12i &

The -n and -title options give the text for window and icon. As I use the
tcsh (a wonderful extension of the csh), I can do the following:

I have an

	alias precmd echo -n '^[]2\;${HOST}:$cwd^G'

in my ~/.tcshrc. This is a special alias for tvtwm. It is executed each time
before printing the prompt. So, I have the current host name and the current
directory path in the title bar of my xterms.

------------------------------------------------------------------------------
      ____                                                                    
  UniDo  /  Ingolf Markhof  University of Dortmund, LS Informatik XII         
 ___/   /                   P.O. Box 500 500, D-4600 Dortmund 50, F.R. Germany
 \  \  /                    Phone: +49 (231) 755 6142, Fax: +49 (231) 755 6555  
  \__\/                     Email: markhof@ls12.informatik.uni-dortmund.de    
                                                                              ",5
"I am trying to write an image display program that uses
the MIT shared memory extension.  The shared memory segment
gets allocated and attached to the process with no problem.
But the program crashes at the first call to XShmPutImage,
with the following message:

X Error of failed request:  BadShmSeg (invalid shared segment parameter)
  Major opcode of failed request:  133 (MIT-SHM)
  Minor opcode of failed request:  3 (X_ShmPutImage)
  Segment id in failed request 0x0
  Serial number of failed request:  741
  Current serial number in output stream:  742

Like I said, I did error checking on all the calls to shmget
and shmat that are necessary to create the shared memory
segment, as well as checking XShmAttach.  There are no
problems.

If anybody has had the same problem or has used MIT-SHM without
having the same problem, please let me know.

By the way, I am running OpenWindows 3.0 on a Sun Sparc2.",5
"

They exist.  Even photosynthetic varieties.  Not economical at this
time, though.",14
"Well, it looks like the folks in soc.religion.islam have loosened up
a bit and are discussing this topic as well as the banking/interest
topic.  A few books on the subject have also been mentioned in addition
to the one you mentioned.  These may be hard to find, but I think I may
take a stab at it out of curiosity.  I know the one film I saw on this
subject was pretty weak and the only two quotes I have seen which were
used to show science in the Koran (which I posted here) were also pretty 
vague.  I suspect that these books will extrapolate an awful lot on the
quotes they have.

At least one poster on the Islam channel seems to have some misgivings
about the practice of using the Koran to decide what is good science.

I wonder if Islam has ever come up with the equivalent of the Christians
""Creation Science"" on any topic.  It would be interesting to find a history
of scientific interpretations of the Koran, to see if anyone used the Koran
to support earlier science which has since been discarded.  It is all too
easy to look at science as it exists today and then ""interpret"" passages
to match those findings.  People do similar things with the sayings of
Nostradamus all the time.",0
"
 

Hmmm. Care to be more vague?
",13
"
s,

This country is hardly ruined. In fact, it is booming compared to after the
1980 election.

This whole ""USA has gone to hell and Reagan/Bush caused it"", is not only lame,
pathetic, and old....... it's wrong.

Under Reagan/Bush the economy grew by 1.1 trillion dollars.  This is more than 
the entire economy of Germany, a ""kind, gentle"" country, in many peoples' 
books.  What a joke.",18
"
While I don't read normally read this group, I was looking for Valentine radar
information (sigh, maybe in the FAQ) and came across your posting..

I bought a '93 Probe GT with the PEP 263A last July (now at 9500 miles)
after debating over the Sentra SE-R/NX2000, MX6, MR-2, Stealth, Prelude, 
and Celica.

Check this month's Consumer Reports for previous Probe records.  

My criteria: a ""fun"" car with ABS, airbag, over 130hp, and less than $25K.
I thought about a turbo, but checking with insurance people ruled that out.
The Tri-Star cars (Eclipse/Talon/etc) were out since they don't have an air bag.
Ditto for the Mustang(also no ABS).
The SE-R/NX2000/M20 fell into the pocket-rocket category.  A good used car buy.
The MX-6 was almost there but rolled more than I liked.  
I didn't like the Prelude dash/instrumentation at all.  Too weird for me.
The MR2 has a much smaller non-passenger space than I needed, so out that went.
The Celica was ""ok"" but underpowered when loaded with options (and somewhat
overpriced too) in non-turbo form.
I never considered the 240SX since it didn't have an airbag.  I did look at it
for its RWD virtues but that's it.  The Corolla never entered my mind.
I should have looked at the Mitsubishi VR4/Dodge Stealth more.
Since my list was exhausted, I bought the Probe.  :-)

The car design is different than earlier years, so it's too early to see its
reliability so far.  For what it's worth, my comments:

My dislikes:
Shutting door with windows up from inside rarely makes good wind seal.
Headlights have ""stuck"" up a few times (weather?)
air conditioning broke ~4000 miles (pressure cycling switch)
condensation around rear washer fluid container doesn't drain completely.
crammed engine; little hope for do-it-yourselfers (typical)
parts somewhat more expensive than normal Ford parts
underside plastic doesn't like sharp driveways and speedbumps (typical).
assembly gripes: tape on radiator, screw fell out of dash, seat seams not 
stitched properly.  Hopefully just a fluke.
Ford only gives 1 key with the car.  C'mon Ford, spend an extra few pennies!
Rear hatch has no padding on corners when up.  I'm waiting for the day when
I bash my head on the corner.
horn buttons behind air bag in spokes and not in center (personal preference)
Tires fling dirt/mud onto side of car 

My Likes:
engine (design/valves/sounds/smoothness/power/mileage/torque) -- definitely #1
handling (very good for FWD; understeer only at limits)
transmission (the 5 speed is a must)
usable instrumentation (lovely readable analog everywhere)
Very little torque steer at full power (much better than the '90 SHO I drive)
stability at 100+mph (high gearing though)
low cowl (good visibility in front)
Heated outside mirrors (nice in fog, never tested in freezing weather)
ABS/Air bag (see above)
rear seats fold down (I have few rear seat passengers so a trunk not important)
No shake/rattle noises when going over bumps/potholes (still!)
Tires: 225/55VR16 Goodyear Eagles (70% left; hoping for 30K :-)

As you can see, I'm primarily interested in the engine.  While it doesn't
have the uummmph of a big-liter car or the turbo rush, the big selling
point for me was the all-aluminum 24 value 2.5 liter engine.  

The overall car is a good buy for the money.  That market segment hasn't changed
much since July (Prelude VTEC, Honda Del Sol??).  I drive it to and from work
each day on relatively smooth roads, and most noticable thing is that the
Probe's suspension doesn't like potholes.  When you test drive one, find a 
potholed road somewhere around town and see if the jarring you get is tolerable.
If you have 3+ passengers, by all means bring them along too.  They'll find
that they have no room in the back and you'll find that the car rides
differently (if that's ""better"" is up to you).  Also, there's a lot of glass
around you which I wasn't expecting; the temperature inside the car gets pretty
hot in the summer.  My back seat passengers (now very few) complain about
the lack of ventilation; you may want to consider that when combined with
the heat.  I've heard that the exhaust system has trouble, but mine works fine.
Leather and the keyless entry system weren't available when I got the car so
I can't comment on them (I got the car before it was officially announced).  
I prefer cloth to leather anyway.  

I wouldn't want this car in the snow:  The suspension is too rough for the
inevitable surprise potholes, tires aren't meant for snow, and the seats assume
that you're not wearing lots of thick clothing.  Rain is much better:  water 
generally beads off the windshield at freeway speed, the windshield wiper
controls are easy and understandable, and I barely hydroplaned once with the
Eagles (and I was really trying).  
There is also a definite lack of cup holder/small storage places.  The GT
has map holders below the speakers in the door, but they're rigid plastic
that could fit two cassettes or CD's max.  The center console/storage bin/arm
rest has *1* cup holder and the back of the front seats have a cloth ""pouch""
but that's it.  No change holders.  Quite a let-down from the SHO.
And the Probe is definitely not a people-mover car or an econo-box car!

Lastly, don't store wet car covers in the back.  The foam will soak the 
water up and the result will *not* smell pleasant :-(.

Nathan
nathan@sco.com


",7
"
It would be in a different location, so a directional antenna could
probably lock in on just the one monitor. Failing that, a phased array
could likely seperate the signals. Admittedly, this is expensive, but
so is all the rest of this stuff anyway.

--
Perry Metzger		pmetzger@shearson.com",11
"I just had an idea. I'm not sure if its been done and I'm just
remembering it unconsiously, but I thought that in dialog
boxes and whatever in windowing systems, there should be a
way to intuitivly set some things checked or unchecked or
filled in a certain way. My idea: tape. You know, like putting
a piece of tape over a light switch?
Just an idea, if you like it, use it.
",5
"Hello netters

Sorry, I don't know if this is the right way of doing this kind of thing,
probably should be a CFV, but since I don't have tha ability to create a 
news group myself, I just want to start the discussion. 

I enjoy reading c.g very much, but I often find it difficult to sort out what
I'm interested in. Everything from screen-drivers, graphics cards, graphics
programming and graphics programs are discused here. What I'd like is a 
comp.graphics.programmer news group.
What do you other think.
",1
"Please unsubscribe pancamo@blkbox.com.  This user has become inactive and I
wish to discontinue his participation in this mailing list.",5
"Does anyone know what hardware is required and where I could find it for
sound recording on the  Mac Portable.

Thanks",4
"Want to sell a 1980 MAZDA GLC for $300 or b.o. Excellent working condition. Just
passed inspection. Has a sun roof. No marks on body.
Contact soon kohli@ecs.umass.edu or (413_549-4738.",6
"

Implicitly you are assuming that goals scored against Winnipeg with Selanne
on the ice can be blamed on him...Roger, he is a FORWARD.  Winnipeg has a
lousy defensive record anyway.  Let's put it another way.  John Cullen's +/-
is terrible.  What's your excuse for him?  That his powerplay points don't
count?  Neither do Selanne's... 


Knowledgeable hockey observers the world over would agree that
feeding Selanne so he can score does contribute in a meaningful way to
winning. 


You're worried about Teemu when you have Glenn Anderson on your team?


What he does best is score...so I refer you to my comment above.
",10
"This is the third and final call for votes for the creation of the
newsgroup misc.health.diabetes.  A mass acknowledgement of valid votes
received as of April 19th 14:00 GMT appears at the end of this
posting.  Please check the list to be sure that your vote has been
registered.  Read the instructions for voting carefully and follow
them precisely to be certain that you place a proper vote.
 
Instructions for voting:
 
To place a vote FOR the creation of misc.health.diabetes, send an
email message to yes@sun6850.nrl.navy.mil
 
To place a vote AGAINST creation of misc.health.diabetes, send an
email message to no@sun6850.nrl.navy.mil
 
The contents of the message should contain the line ""I vote
for/against misc.health.diabetes as proposed"".  Email messages sent to
the above addresses must constitute unambiguous and unconditional
votes for/against newsgroup creation as proposed.  Conditional votes
will not be accepted.  Only votes emailed to the above addresses will
be counted; mailed replies to this posting will be returned.  In the
event that more than one vote is placed by an individual, only the
most recent vote will be counted.
 
Voting will continue until 23:59 GMT, 29 Apr 93.
Votes will not be accepted after this date.
 
Any administrative inquiries pertaining to this CFV may be made by
email to swkirch@sun6850.nrl.navy.mil
 
The proposed charter appears below.
 
--------------------------
 
Charter:  
 
misc.health.diabetes                            unmoderated
 
1.   The purpose of misc.health.diabetes is to provide a forum for the
discussion of issues pertaining to diabetes management, i.e.: diet,
activities, medicine schedules, blood glucose control, exercise,
medical breakthroughs, etc.  This group addresses the issues of
management of both Type I (insulin dependent) and Type II (non-insulin
dependent) diabetes.  Both technical discussions and general support
discussions relevant to diabetes are welcome.
 
2.   Postings to misc.heath.diabetes are intended to be for discussion
purposes only, and are in no way to be construed as medical advice.
Diabetes is a serious medical condition requiring direct supervision
by a primary health care physician.  
 
-----(end of charter)-----
 
The following individuals have sent in valid votes:
 
9781BMU@VMS.CSD.MU.EDU                  Bill Satterlee
a2wj@loki.cc.pdx.edu                    Jim Williams
ac534@freenet.carleton.ca               Colin Henein
ad@cat.de                               Axel Dunkel
al198723@academ07.mty.itesm.mx          Jesus Eugenio S nchez Pe~a
anugula@badlands.NoDak.edu              RamaKrishna Reddy Anugula
apps@sneaks.Kodak.com                   Robert W. Apps
arperd00@mik.uky.edu                    alicia r perdue
baind@gov.on.ca                         Dave Bain
balamut@morris.hac.com                  Morris Balamut
bch@Juliet.Caltech.Edu
BGAINES@ollamh.ucd.ie                   Brian Gaines
Bjorn.B.Larsen@delab.sintef.no
bobw@hpsadwc.sad.hp.com                 Bob Waltenspiel
bruce@uxb.liverpool.ac.uk               bruce
bspencer@binkley.cs.mcgill.ca           Brian SPENCER
cline@usceast.cs.scarolina.edu          Ernest A. Cline
coleman@twin.twinsun.com                Mike Coleman
compass-da.com!tomd@compass-da.com      Thomas Donnelly
csc@coast.ucsd.edu                      Charles Coughran
curtech!sbs@unh.edu                     Stephanie Bradley-Swift
debrum#m#_brenda@msgate.corp.apple.com  DeBrum, Brenda
dlb@fanny.wash.inmet.com                David Barton
dlg1@midway.uchicago.edu                deborah lynn gillaspie
dougb@comm.mot.com                      Douglas Bank
ed@titipu.resun.com                     Edward Reid
edmoore@hpvclc.vcd.hp.com               Ed Moore
ejo@kaja.gi.alaska.edu                  Eric J. Olson
emcguire@intellection.com               Ed McGuire
ewc@hplb.hpl.hp.com                     Enrico Coiera
feathr::bluejay@ampakz.enet.dec.com
franklig@GAS.uug.Arizona.EDU            Gregory C Franklin 
FSSPR@acad3.alaska.edu                  Hardcore Alaskan
gabe@angus.mi.org                       Gabe Helou
gasp@medg.lcs.mit.edu                   Isaac Kohane
gasp@medg.lcs.mit.edu                   Isaac Kohane
Geir.Millstein@TF.tele.no
ggurman@cory.Berkeley.EDU               Gail Gurman
ggw@wolves.Durham.NC.US                 Gregory G. Woodbury
greenlaw@oasys.dt.navy.mil              Leila Thomas
grm+@andrew.cmu.edu                     Gretchen Miller
halderc@cs.rpi.edu
HANDELAP%DUVM.BITNET@pucc.Princeton.EDU Phil Handel
hansenr@ohsu.EDU
hc@Nyongwa.cam.org                      hc
heddings@chrisco.nrl.navy.mil           Hubert Heddings
herbison@lassie.ucx.lkg.dec.com         B.J.
hmpetro@mosaic.uncc.edu                 Herbert M Petro
HOSCH2263@iscsvax.uni.edu
hrubin@pop.stat.purdue.edu              Herman Rubin
HUDSOIB@AUDUCADM.DUC.AUBURN.EDU         Ingrid B. Hudson
huff@MCCLB0.MED.NYU.EDU                 Edward J. Huff
huffman@ingres.com                      Gary Huffman
HUYNH_1@ESTD.NRL.NAVY.MIL               Minh Huynh
ishbeld@cix.compulink.co.uk             Ishbel Donkin
James.Langdell@Eng.Sun.COM              James Langdell
jamyers@netcom.com                      John A. Myers
jc@crosfield.co.uk                      jerry cullingford
jesup@cbmvax.cbm.commodore.com          Randell Jesup
jjmorris@gandalf.rutgers.edu            Joyce Morris
joep@dap.csiro.au                       Joe Petranovic
John.Burton@acenet.auburn.edu           John E. Burton Jr.
johncha@comm.mot.com
JORGENSONKE@CC.UVCC.EDU
jpsum00@mik.uky.edu                     joey p sum
JTM@ucsfvm.ucsf.edu                     John Maynard
julien@skcla.monsanto.com
kaminski@netcom.com                     Peter Kaminski
kerry@citr.uq.oz.au                     Kerry Raymond
kieran@world.std.com                    Aaron L Dickey
knauer@cs.uiuc.edu                      Rob Knauerhase
kolar@spot.Colorado.EDU                 Jennifer Lynn Kolar
kriguer@tcs.com                         Marc Kriguer
lau@ai.sri.com                          Stephen Lau
lee@hal.com                             Lee Boylan
lmt6@po.cwru.edu
lunie@Lehigh.EDU
lusgr@chili.CC.Lehigh.EDU               Stephen G. Roseman
M.Beamish@ins.gu.edu.au                 Marilyn Beamish
M.Rich@ens.gu.edu.au                    Maurice H. Rich.
maas@cdfsga.fnal.gov                    Peter Maas
macridis_g@kosmos.wcc.govt.nz           Gerry Macridis
markv@hpvcivm.vcd.hp.com                Mark Vanderford
MASCHLER@vms.huji.ac.il
mcb@net.bio.net                         Michael C. Berch
mcday@ux1.cso.uiuc.edu
mcookson@flute.calpoly.edu
mfc@isr.harvard.edu                     Mauricio F Contreras
mg@wpi.edu                              Martha Gunnarson
mhollowa@libserv1.ic.sunysb.edu         Michael Holloway
misha@abacus.concordia.ca               MISHA GLOUBERMAN 
mjb@cs.brown.edu                        Manish Butte
MOFLNGAN@vax1.tcd.ie
muir@idiom.berkeley.ca.us               David Muir Sharnoff
Nancy.Block@Eng.Sun.COM                 Nancy Block
ndallen@r-node.hub.org                  Nigel Allen
nlr@B31.nei.nih.gov                     Rohrer, Nathan
owens@cookiemonster.cc.buffalo.edu      Bill Owens
pams@hpfcmp.fc.hp.com                   Pam Sullivan
papresco@undergrad.math.uwaterloo.ca    Paul Prescod
paslowp@cs.rpi.edu
pillinc@gov.on.ca                       Christopher Pilling
pkane@cisco.com                         Peter Kane
popelka@odysseus.uchicago.edu           Glenn Popelka
pulkka@cs.washington.edu                Aaron Pulkka
pwatkins@med.unc.edu                    Pat Watkins
rbnsn@mosaic.shearson.com               Ken Robinson
rick@crick.ssctr.bcm.tmc.edu            Richard H. Miller
robyn@media.mit.edu                     Robyn Kozierok
rolf@green.mathematik.uni-stuttgart.de  Rolf Schreiber
sageman@cup.portal.com
sasjcs@unx.sas.com                      Joan Stout
SCOTTJOR@delphi.com
scrl@hplb.hpl.hp.com
scs@vectis.demon.co.uk                  Stuart C. Squibb
shan@techops.cray.com                   Sharan Kalwani
sharen@iscnvx.lmsc.lockheed.com         Sharen A. Rund
shazam@unh.edu                          Matthew T Thompson
shipman@csab.larc.nasa.gov              Floyd S. Shipman
shoppa@ERIN.CALTECH.EDU                 Tim Shoppa
slillie@cs1.bradley.edu                 Susan Lillie
steveo@world.std.com                    Steven W Orr
surendar@ivy.WPI.EDU                    Surendar Chandra
swkirch@sun6850.nrl.navy.mil            Steven Kirchoefer
S_FAGAN@twu.edu
TARYN@ARIZVM1.ccit.arizona.edu          Taryn L. Westergaard
Thomas.E.Taylor@gagme.chi.il.us         Thomas E Taylor
tima@CFSMO.Honeywell.COM                Timothy D Aanerud
tsamuel%gollum@relay.nswc.navy.mil      Tony Samuel
U45301@UICVM.UIC.EDU                    M. Jacobs  
vstern@gte.com                          Vanessa Stern
wahlgren@haida.van.wti.com              James Wahlgren
waterfal@pyrsea.sea.pyramid.com         Douglas Waterfall
weineja1@teomail.jhuapl.edu
wgrant@informix.com                     William Grant
YEAGER@mscf.med.upenn.edu
yozzo@watson.ibm.com                    Ralph E. Yozzo
Z919016@beach.utmb.edu                  Molly Hamilton",13
"Could someone explain the difference between Tom Gaskins' two books:

  o  PEXLIB Programming Manual
  o  PHIGS Programming Manual

Why would I want to buy one book vs the other book?  I have an 80386
running SCO UNIX (X11R4) on my desktop, a SUN IV/360 in my lab, and 
access to a variety of other systems (Alliant FX/2800, Cray Y/MP) on
the network.  Mostly, we would like to do 3D modeling/visualization
of rat, rabbit, monkey, and human brain structure.

Thanks, AJ

------------------------------------------------------------------------------
Alexander-James Annala
Principal Investigator
Neuroscience Image Analysis Network
HEDCO Neuroscience Building, Fifth Floor
University of Southern California
University Park
Los Angeles, CA 90089-2520",1
"The article that follows was taken from the Wednesday, April 14,
1993 issue of USA Today (""Drug Use Up At Younger Age"" by Mike
Snider, p. 1A).

    Drug use is on the rise among kids as young as eighth graders -
    usually 13 - and they're using more LSD and inhalants like glue
    and air fresheners, says a new survey.

    The annual National High School Senior Survey on Drug Abuse finds
    ""statistically significant increases"" in eighth-graders' use of
    many drugs, including marijuana, cocaine, crack, LSD and inhalants.

    ""We may be in danger of losing some ... hard-won ground (in reducing
    drug use) as a new, more naive generation of youngsters enters
    adolescence,"" says Lloyd Johnston, University of Michigan, chief
    researcher on the study sponsored by the Department of Health and
    Human Services.

    But drug use among high school seniors is continuing a decade-long
    decline.

    The study of 50,000 students shows the percentage who tried the
    following in the 30 days before they were polled:

        * 8th-graders  - alcohol 26%; cigarettes 16%; marijuana 4%;
                         cocaine 0.7%.

        * 10th-graders - alcohol 40%; cigarettes 22%; marijuana 8%;
                         cocaine 0.7%.

        * 12th-graders - alcohol 51%; cigarettes 28%; marijuana 12%;
                         cocaine 1.3%.

    Among 12th-graders, use of marijuana, cocaine and inhalants
    declined over the year before.  Not so with LSD.

    * 2% of eighth-graders have tried LSD in the last year, up 24%
    over 1991. 

    * Use of LSD among seniors is at its highest point since 1982; 6%
    tried it in the last year.

    Reducing drug use among students ""requires a different kind of
    strategy"" that Health Secretary Donna Shalala says will be part
    of an overall illness prevention plan.

    The survey shows drugs are easier to get and fewer eighth-graders
    disapprove of them.

    ""It's scary,"" Shalala says.  ""Dealers are focusing on younger, more
    vulnerable kids.""


Scott Kennedy,  Brewer and Patriot",18
"Hi,

I am going through a box of old IBM card and came across one called a 

Rapid Technology SQUEEZE card.  It is dated 1990 and has a 54mhz crystal on
it and a big chip that has 'C-Cube' on it.

No connectors to the outside, but a ribbon-type 50-pin connector on the board.

It is a 16-bit board.

Any ideas what it is?


Phil


--------------------------------------------------------------------
Phil Hunt                          ""Wherever you go, there you are!""
Howtek, Inc.		                   ",3
"
      Who cares what the fellow wrote anyway? I mean, it came from
PSUVM, so how could it possibly have been of any importance?

=====

(disperse smileys until no longer offended)

",0
"Hello
	HELP!!! please
		I am a student of turbo c++ and graphics programming
	and I am having some problems finding algorithms and code
	to teach me how to do some stuff..

	1) Where is there a book or code that will teach me how
	to read and write pcx,dbf,and gif files?

	2) How do I access the extra ram on my paradise video board
	so I can do paging in the higher vga modes ie: 320x200x256
	800x600x256
	3) anybody got a line on a good book to help answer these question?

Thanks very much !

send reply's to : Palm@snycanva.bitnet",1
"--------- Forwarding begins here ---------

Date: Wed,  7 Apr 1993 15:39:55 -0400 (EDT)
From: Women's Center <women+@andrew.cmu.edu>
To: +dist+/afs/andrew.cmu.edu/usr0/women/dlists/happyhour-announce.dl@andrew.cmu.edu
Subject: PROGRESSIVES HAPPY HOUR

Enjoy good food and interesting company at the Progressives Happy Hour,
Thursday 8 April, starting at 5:30pm at the Women's Center (located next
to the laundromat in the Margaret Morrison Plaza).  Kosher for Passover
food will be served.  All are welcome.

(Good things to drink will be there, but paper cups won't.  Please  be
progressive and bring a cup or mug with you.)

Co-sponsored by the Student Government President and funded by the
student activites fee.",5
"				  ^^^
		           what the hell is 'ios'? 

Fix your own typos before you blame others....

",6
": Experiment: From a Sun openwindows 4.1.3 xterm window log into a
: Solaris 2.x machine using rlogin; now do an ""ls"" and get the first
: character of each line display in the last column of the display
: with the rest of the line wrapped to the next line of the display.

: Log out and the condition persists.  Check stty all, try reset
: with no effect.

The condition happens  when the TAB is not  set  to 8 spaces,  set and
then check out.
",5
"
: >: Rate := per capita rate.  The UK is more dangerous.
: >: Though you may be less likely to be killed by a handgun, the average
: >: individual citizen in the UK is twice as likely to be killed
: >: by whatever means as the average Swiss.  Would you feel any better
: >: about being killed by means other than a handgun? I wouldn't.
: 
: >What an absurd argument.  Switzerland is one-fifth the size of the
: >UK with one-eigth as many people therefore at any given point on
: >Swiss soil you are more likely to be crow bait.  More importantly,
: >you are 4x as likely to be killed by the next stranger approaching
: >you on a Swiss street than in the UK.

: You are betraying your lack of understanding about RATE versus TOTAL
: NUMBER. Rates are expressed, often, as #/100,000 population.
: Therefore, if a place had 10 deaths and a population of 100,000, the
: rate would be 10/100,000.  A place that had 50 deaths and a population
: of 1,000,000 would hav a rate of 5/100,000.  The former has a higher
: rate, the latter a higher total.  You are less likely to die in the
: latter.  Simple enuff?

For chrissakes, take out your calculator and work out the numbers.
Here... I've preformatted them for you to make it easier:

			handgun homicides/population
			----------------------------
	Switzerland :	24 /  6,350,000
	         UK :    8 / 55,670,000

... and then tell me again how Switzerland is safer with a more
liberal handgun law than the UK is without...by RATE or TOTAL NUMBER.
Your choice.",16
"I don't know about the dinky little Zephyr's, but the 1100 (now
the ZR1100) looks alot like my '76 Z1/ KZ900!  The one I drooled over
at Tri-Sports in Topsham, ME was a looker!

Yes, Mercury axed the Zephyr name.  Guess a lot of aging Republicans
wanted a Zephyr and confused the Mercury with the Kawasaki :).  Oh
well, they're better off with the Kawasaki anyways.  Maybe it'll shake the
stick out of their asses and  make Libertarians out of them!

As to the GPz <--> Zephyr, the only GPz I've seen had the ball-buster
gas tank profile, not the smooth saddle - to - gas tank transition.
_Motorcyclist_ claims the Zephyr / ZR is the modernized Z1 (KZ) from the
seventies.
Jeff Andle   DoD #3005  1976 KZ900     REE700A@MAINE.MAINE.EDU",8
"





",4
"The fact that Israel is already discussing with some Palestinians what the composition
of the armed Palestinian Police Force in the territories will be during the transition
phase indicates some real solid concessions and liberal thinking on the part of the
Israeli side.",17
"I am in need of the Driver for the Bernoulli Cartridge on a DataFrame
XP60+B.  The hard disk on the system got fried and I haven't been able to
locate the original disks.  If anyone has it or know where I can get this
please let me know via e-mail.

Thanks in advance.

Wayne Lyle

-- ",4
"
: >People who reject God don't want to be wth Him in heaven.  We spend our 
: >lives choosing to be either for Him or against Him.  God does not force 
: >Himself on us.

: I must say that I am shocked. My impression has been that Jayne Kulikaskas
: usually writes this much less offensive and ludicrous than this. I am not
: saying that the offensiveness is intentional, but it is clear and it is
: something for Christians to consider.

Jayne stands in pretty good company.  C.S. Lewis wrote a whole book
promoting the idea contained in her first sentence quoted above.  It is
called ""The Final Divorce"".  Excellent book on the subject of Heaven and
Hell, highly recommended.  It's an allegory of souls who are invited, indeed
beseeched to enter Heaven, but reject the offer because being with God in
Heaven means giving up their false pride.
",15
"
I may be interesting to see some brief selections posted to the net.
My understanding is that SSPX does not consider ITSELF in schism
or legitimately excommunicated.  But that's really beside the point.
What does the Roman Catholic church say?  Excommunication can be
real apart from formal excommunication, as provided for in canon law.

After all we Orthodox don't cinsider ourselves schismatic or
excommunicated.  But the Catholic Church considers us dissident.

If this is inappropriate for this group or beyond the charter,
I'm sure OFM will let us know.

Larry Overacker (llo@shell.com)
-- 
-------
Lawrence Overacker
Shell Oil Company, Information Center    Houston, TX            (713) 245-2965
llo@shell.com",15
